trade_n,timestamp,market_ticker,action,side,yes_price,entry_price_cents,qty,cost,result,payout,pnl,cash,note
32,2026-02-25T03:03:10.655005+00:00,KXNBASGPROP-23DEC20TATUM-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1018.96,won
33,2026-02-25T03:03:11.679248+00:00,KXNBASGPROP-23DEC27DURANT-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1020.72,won
34,2026-02-25T03:03:12.059496+00:00,KXNBASGPROP-23DEC27JOKIC-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1023.12,won
35,2026-02-25T03:03:13.429116+00:00,KXNBASGPROP-24JAN10JOKIC-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1025.28,won
36,2026-02-25T03:03:14.115501+00:00,KXNBASGPROP-24JAN10LILLARD-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1027.44,won
37,2026-02-25T03:03:14.461102+00:00,KXNBASGPROP-24JAN10EMBIID-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1029.72,won
38,2026-02-25T03:03:14.839218+00:00,KXNBASGPROP-24JAN10EMBIID-PTS30,BET_NO,NO,16,84,11,9.24,yes,0.0,-9.24,1020.48,lost
39,2026-02-25T03:03:15.188874+00:00,KXNBASGPROP-24JAN17EMBIID-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1022.76,won
40,2026-02-25T03:03:15.532824+00:00,KXNBASGPROP-24JAN17CURRY-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1024.92,won
41,2026-02-25T03:03:15.881067+00:00,KXNBASGPROP-24JAN24LUKA-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1026.96,won
42,2026-02-25T03:03:16.225052+00:00,KXNBASGPROP-24JAN24LUKA-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1028.72,won
43,2026-02-25T03:03:16.573418+00:00,KXNBASGPROP-24JAN31DURANT-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1030.88,won
44,2026-02-25T03:03:16.919607+00:00,KXNBASGPROP-24JAN31EMBIID-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1033.16,won
45,2026-02-25T03:03:17.268334+00:00,KXNBASGPROP-24JAN31TATUM-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1035.2,won
46,2026-02-25T03:03:17.616631+00:00,KXNBASGPROP-24JAN31TATUM-AST10,BET_NO,NO,16,84,11,9.24,yes,0.0,-9.24,1025.96,lost
47,2026-02-25T03:03:18.626173+00:00,KXNBASGPROP-24FEB07TATUM-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1028.24,won
48,2026-02-25T03:03:18.974447+00:00,KXNBASGPROP-24FEB07CURRY-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1030.52,won
49,2026-02-25T03:03:19.659181+00:00,KXNBASGPROP-24FEB07JOKIC-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1032.68,won
50,2026-02-25T03:03:20.007170+00:00,KXNBASGPROP-24FEB14JOKIC-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1034.96,won
51,2026-02-25T03:03:20.357839+00:00,KXNBASGPROP-24FEB14EMBIID-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1037.36,won
52,2026-02-25T03:03:20.708232+00:00,KXNBASGPROP-24FEB14LEBRON-AST10,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,1027.64,lost
53,2026-02-25T03:03:21.056782+00:00,KXNBASGPROP-24FEB14JOKIC-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1029.8,won
54,2026-02-25T03:03:21.746414+00:00,KXNBASGPROP-24FEB21LEBRON-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1032.2,won
55,2026-02-25T03:03:22.100151+00:00,KXNBASGPROP-24FEB21LEBRON-PTS30,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,1022.48,lost
56,2026-02-25T03:03:22.784528+00:00,KXNBASGPROP-24FEB28LILLARD-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1024.76,won
57,2026-02-25T03:03:23.484742+00:00,KXNBASGPROP-24FEB28LUKA-AST10,BET_NO,NO,20,80,12,9.6,yes,0.0,-9.6,1015.16,lost
58,2026-02-25T03:03:23.830663+00:00,KXNBASGPROP-24FEB28LILLARD-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1017.56,won
59,2026-02-25T03:03:24.175310+00:00,KXNBASGPROP-24FEB28TATUM-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1019.32,won
60,2026-02-25T03:03:24.867260+00:00,KXNBASGPROP-24MAR06EMBIID-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1021.36,won
61,2026-02-25T03:03:25.244920+00:00,KXNBASGPROP-24MAR06TATUM-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1023.76,won
62,2026-02-25T03:03:25.596718+00:00,KXNBASGPROP-24MAR06TATUM-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1025.92,won
63,2026-02-25T03:03:26.288998+00:00,KXNBASGPROP-24MAR13JOKIC-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1027.96,won
64,2026-02-25T03:03:26.638207+00:00,KXNBASGPROP-24MAR13LUKA-PTS30,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,1018.24,lost
65,2026-02-25T03:03:26.990520+00:00,KXNBASGPROP-24MAR13LUKA-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1020.4,won
66,2026-02-25T03:03:27.674003+00:00,KXNBASGPROP-24MAR13JOKIC-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1022.44,won
67,2026-02-25T03:03:28.028563+00:00,KXNBASGPROP-24MAR13TATUM-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1024.84,won
68,2026-02-25T03:03:28.710293+00:00,KXNBASGPROP-24MAR20LILLARD-PTS30,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,1015.12,lost
69,2026-02-25T03:03:29.066825+00:00,KXNBASGPROP-24APR03EMBIID-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1017.4,won
70,2026-02-25T03:03:29.754632+00:00,KXNBASGPROP-24APR10JOKIC-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1019.44,won
71,2026-02-25T03:03:30.437548+00:00,KXNBASGPROP-24APR10DURANT-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1021.48,won
72,2026-02-25T03:03:30.914876+00:00,KXNBASGPROP-24APR10CURRY-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1023.52,won
73,2026-02-25T03:03:31.958133+00:00,KXNBASGPROP-24APR17EMBIID-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1025.28,won
74,2026-02-25T03:03:32.644148+00:00,KXNBASGPROP-24APR17JOKIC-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1027.44,won
75,2026-02-25T03:03:33.335259+00:00,KXNBASGPROP-24OCT18LEBRON-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1029.72,won
76,2026-02-25T03:03:34.027203+00:00,KXNBASGPROP-24OCT25TATUM-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1031.88,won
77,2026-02-25T03:03:34.385362+00:00,KXNBASGPROP-24OCT25CURRY-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1033.64,won
78,2026-02-25T03:03:34.752562+00:00,KXNBASGPROP-24NOV01LUKA-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1035.68,won
79,2026-02-25T03:03:35.450262+00:00,KXNBASGPROP-24NOV01TATUM-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1038.08,won
80,2026-02-25T03:03:36.170881+00:00,KXNBASGPROP-24NOV08JOKIC-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1040.36,won
81,2026-02-25T03:03:36.519571+00:00,KXNBASGPROP-24NOV08JOKIC-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1042.52,won
82,2026-02-25T03:03:37.207429+00:00,KXNBASGPROP-24NOV08LUKA-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1044.92,won
83,2026-02-25T03:03:37.558145+00:00,KXNBASGPROP-24NOV15LUKA-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1047.32,won
84,2026-02-25T03:03:38.264672+00:00,KXNBASGPROP-24NOV15JOKIC-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1049.08,won
85,2026-02-25T03:03:38.621221+00:00,KXNBASGPROP-24NOV15CURRY-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1050.84,won
86,2026-02-25T03:03:39.320129+00:00,KXNBASGPROP-24NOV15LUKA-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1052.6,won
87,2026-02-25T03:03:40.015479+00:00,KXNBASGPROP-24NOV22EMBIID-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1054.36,won
88,2026-02-25T03:03:40.366895+00:00,KXNBASGPROP-24NOV22CURRY-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1056.64,won
89,2026-02-25T03:03:41.072285+00:00,KXNBASGPROP-24NOV22JOKIC-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1058.8,won
90,2026-02-25T03:03:41.434510+00:00,KXNBASGPROP-24NOV22TATUM-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1060.96,won
91,2026-02-25T03:03:41.790412+00:00,KXNBASGPROP-24NOV22TATUM-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1063.24,won
92,2026-02-25T03:03:42.818716+00:00,KXNBASGPROP-24NOV29CURRY-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1065.52,won
93,2026-02-25T03:03:43.168523+00:00,KXNBASGPROP-24DEC06CURRY-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1067.92,won
94,2026-02-25T03:03:43.523447+00:00,KXNBASGPROP-24DEC06EMBIID-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1069.68,won
95,2026-02-25T03:03:43.901287+00:00,KXNBASGPROP-24DEC06LEBRON-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1071.44,won
96,2026-02-25T03:03:44.961134+00:00,KXNBASGPROP-24DEC13LILLARD-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1073.84,won
97,2026-02-25T03:03:46.674162+00:00,KXNBASGPROP-24DEC13DURANT-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1075.88,won
98,2026-02-25T03:03:47.025877+00:00,KXNBASGPROP-24DEC13LEBRON-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1077.92,won
99,2026-02-25T03:03:47.400402+00:00,KXNBASGPROP-24DEC13LUKA-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1079.96,won
100,2026-02-25T03:03:47.752129+00:00,KXNBASGPROP-24DEC13CURRY-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1082.12,won
101,2026-02-25T03:03:48.249303+00:00,KXNBASGPROP-24DEC20TATUM-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1083.88,won
102,2026-02-25T03:03:49.683205+00:00,KXNBASGPROP-24DEC20LEBRON-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1085.64,won
103,2026-02-25T03:03:50.719833+00:00,KXNBASGPROP-24DEC27CURRY-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1087.92,won
104,2026-02-25T03:03:51.068340+00:00,KXNBASGPROP-24DEC27CURRY-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1089.96,won
105,2026-02-25T03:03:51.419710+00:00,KXNBASGPROP-24DEC27LUKA-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1092.24,won
106,2026-02-25T03:03:51.777607+00:00,KXNBASGPROP-24DEC27LUKA-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1094.4,won
